id,name,position,company,category,data_name
116,Dr. Jacki O'Neill,"Director","Microsoft Research, Africa",Other,Dr. Jacki O'Neill
117,Dr. Liming Zhu,"Head of the AI & Digital Division","CSIRO",Other,Dr. Liming Zhu
118,Dr. Shivkumar Kalyanaraman,"CEO","Anusandhan National Research Foundation (ANRF)",Other,Dr. Shivkumar Kalyanaraman
119,Dr. Sunayana Sitaram,"Principal Researcher","Microsoft Research",Other,Dr. Sunayana Sitaram
120,Navrina Singh,"Founder & CEO","Credo AI",Other,Navrina Singh
121,Prof. Aditya Vashishtha,"Asst Professor of Information Science","Cornell University",Other,Prof. Aditya Vashishtha
122,Prof. Monojit Choudhary,"Professor of NLP","MBZUAI",Other,Prof. Monojit Choudhary
123,Prof. Nicholas Davis,"Prof of Emerging Technology","U/o Technology Sydney",Other,Prof. Nicholas Davis
124,Umesh Sachdev,"CEO and Co-founder","Uniphore",Other,Umesh Sachdev
125,Vishal Sikka,"Founder and CEO","Vianai Systems",Other,Vishal Sikka
126,Vivek Mahajan,"CTO","Fujitsu Limited",Other,Vivek Mahajan
127,Ravi Mhatre,"Partner and Co-Founder","Lightspeed",Other,Ravi Mhatre
128,Seema Ambastha,"Chief Executive","Larsen & Toubro - Vyoma",Other,Seema Ambastha
129,Tony Blair,"Executive Chairman","Tony Blair Institute for Global Change",Other,Tony Blair
